T [K],F [eV/atom]
100.0,-4.263114269030007
100.01500000000004,-4.263113921158709
100.03000000000002,-4.263113574061289
100.045,-4.263113227675916
100.05999999999995,-4.26311288199295
100.07500000000002,-4.263112536953843
100.08999999999995,-4.26311219252341
100.10500000000002,-4.263111848631714
100.12000000000002,-4.263111505134395
100.135,-4.263111162000897
100.14999999999999,-4.2631108192746465
100.16499999999998,-4.263110476872616
100.17999999999998,-4.263110134704493
100.19499999999998,-4.263109792817215
100.21000000000004,-4.263109451252733
100.22500000000004,-4.263109110034179
100.24000000000001,-4.263108769176381
100.255,-4.2631084286586844
100.27,-4.263108088581598
100.28500000000005,-4.263107749015757
100.29999999999997,-4.263107409936322
100.31499999999998,-4.263107071356455
100.33000000000001,-4.263106733349315
100.34500000000004,-4.263106396038424
100.36000000000001,-4.263106059398695
100.37500000000001,-4.263105723288562
100.39000000000004,-4.26310538771578
100.40499999999997,-4.263105052819829
100.42000000000002,-4.263104718687791
100.43500000000002,-4.2631043852721024
100.44999999999995,-4.263104052495215
100.46500000000006,-4.263103720254226
100.47999999999998,-4.263103388463824
100.49500000000003,-4.263103057041339
100.51000000000003,-4.263102725855218
100.52499999999998,-4.263102394771533
100.53999999999996,-4.263102063764275
100.55500000000002,-4.263101732920853
100.57000000000002,-4.263101402222922
100.585,-4.263101071561196
100.60000000000004,-4.263100740903127
100.61500000000005,-4.263100410224
100.63,-4.263100079466626
100.64500000000001,-4.263099748606525
100.66000000000004,-4.263099417590202
100.67499999999998,-4.263099086381294
100.69,-4.2630987549460055
100.70499999999996,-4.2630984232754425
100.71999999999997,-4.263098091387203
100.73499999999996,-4.263097759216167
100.74999999999997,-4.263097426774016
100.76499999999996,-4.263097094128847
100.78000000000003,-4.263096761263277
100.79499999999997,-4.263096428167378
100.81000000000004,-4.263096094894411
100.82500000000005,-4.263095761549951
100.83999999999997,-4.263095428176889
100.85499999999998,-4.263095094756216
100.86999999999999,-4.263094761309436
100.88499999999998,-4.2630944278999765
100.89999999999998,-4.263094094633624
100.915,-4.263093761610152
100.93000000000004,-4.2630934289007865
100.945,-4.263093096564398
100.95999999999997,-4.263092764718169
100.97500000000001,-4.263092433560685
100.99000000000004,-4.263092103329528
101.005,-4.263091774258637
101.02000000000002,-4.263091446406393
101.03500000000001,-4.263091119796692
101.04999999999994,-4.263090794441042
101.06499999999997,-4.263090470351002
101.07999999999997,-4.263090147533045
101.09499999999997,-4.26308982593039
101.11000000000001,-4.263089505581111
101.12499999999999,-4.263089186562504
101.14000000000004,-4.2630888689312325
101.15499999999996,-4.263088552683749
101.16999999999997,-4.263088237781352
101.185,-4.263087924197664
101.19999999999996,-4.263087611925408
101.21500000000003,-4.2630873010341634
101.23000000000003,-4.263086991563326
101.24500000000005,-4.263086683443095
101.25999999999996,-4.263086376627639
101.27499999999995,-4.2630860710252305
101.29000000000002,-4.263085766519032
101.30499999999998,-4.26308546312064
101.32000000000002,-4.263085160816989
101.33500000000004,-4.263084859494679
101.35,-4.263084559117173
101.365,-4.263084259750449
101.38000000000004,-4.263083961462114
101.39499999999998,-4.263083664187004
101.40999999999995,-4.2630833678541915
101.42500000000005,-4.263083072500383
101.44000000000005,-4.263082778098916
101.45500000000003,-4.26308248466252
101.47000000000004,-4.263082192287802
101.485,-4.263081901020045
101.50000000000003,-4.26308161090313
101.51500000000001,-4.263081321917423
101.53000000000002,-4.263081034074521
101.54499999999999,-4.263080747443567
101.56000000000002,-4.263080462042694
101.57500000000005,-4.263080177915052
101.59,-4.263079895131186
101.60499999999995,-4.263079613657644
101.61999999999999,-4.26307933340914
101.63500000000003,-4.263079054376657
101.65000000000002,-4.263078776572852
101.66499999999996,-4.263078499959512
101.67999999999999,-4.263078224470857
101.69499999999998,-4.263077950007009
101.71000000000002,-4.263077676358861
101.72500000000005,-4.263077403302398
101.74000000000001,-4.263077130643274
101.75499999999997,-4.26307685826369
101.76999999999998,-4.2630765860169015
101.78499999999995,-4.263076313715663
101.79999999999998,-4.2630760412445206
101.81499999999997,-4.263075768516231
101.83000000000004,-4.2630754955609165
101.84500000000006,-4.263075222405292
101.86,-4.263074948977526
101.87499999999999,-4.263074675165052
101.88999999999994,-4.263074400802667
101.90500000000004,-4.263074125845097
101.91999999999997,-4.263073850371736
101.935,-4.263073574400301
101.95,-4.2630732979584405
101.96499999999997,-4.263073021180547
101.98000000000003,-4.263072744203419
101.99500000000003,-4.263072467170418
102.00999999999998,-4.263072190166457
102.025,-4.263071913107198
102.03999999999995,-4.263071635901862
102.05500000000005,-4.263071358535294
102.06999999999998,-4.263071080965397
102.08500000000004,-4.263070803110021
102.10000000000001,-4.263070524945382
102.11499999999998,-4.263070246464157
102.13000000000004,-4.263069967690226
102.14500000000002,-4.263069688686412
102.16000000000004,-4.2630694095547925
102.17500000000003,-4.2630691303746735
102.19000000000005,-4.263068851124528
102.20499999999994,-4.26306857177625
102.22000000000003,-4.263068292353139
102.23500000000004,-4.263068012871464
102.24999999999999,-4.263067733270549
102.26499999999997,-4.263067453449267
102.27999999999997,-4.263067173346771
102.29499999999996,-4.26306689289912
102.30999999999999,-4.26306661211166
102.32500000000003,-4.263066331069618
102.33999999999996,-4.263066049857791
102.35500000000003,-4.263065768644265
102.37,-4.263065487541266
102.38499999999999,-4.263065206517425
102.4,-4.263064925580592
102.41499999999999,-4.263064644859553
102.42999999999996,-4.263064364464485
102.44500000000002,-4.263064084492591
102.46000000000002,-4.2630638050267144
102.47500000000002,-4.263063526122296
102.49000000000004,-4.263063247814143
102.50499999999997,-4.263062970197093
102.51999999999997,-4.263062693430273
102.535,-4.263062417621993
102.54999999999997,-4.263062142854988
102.56499999999997,-4.263061869230296
102.57999999999998,-4.263061596840109
102.595,-4.263061325796165
102.61000000000006,-4.263061056225936
102.625,-4.263060788250162
102.63999999999997,-4.263060521899908
102.65499999999999,-4.2630602571421665
102.67000000000002,-4.263059994000114
102.68499999999999,-4.26305973246524
102.70000000000002,-4.263059472521845
102.71500000000006,-4.263059214014837
102.73000000000005,-4.263058956753325
102.74499999999998,-4.2630587006145975
102.75999999999999,-4.263058445367259
102.77500000000003,-4.263058190775614
102.79000000000006,-4.2630579365851595
102.80499999999999,-4.2630576826423825
102.81999999999996,-4.263057428933149
102.83500000000001,-4.263057175382052
102.85000000000004,-4.263056921849099
102.865,-4.263056668216999
102.88000000000004,-4.26305641452527
102.89500000000002,-4.26305616085048
102.91,-4.2630559071570255
102.92500000000004,-4.263055653380139
102.93999999999996,-4.263055399525459
102.955,-4.263055145709766
102.96999999999996,-4.263054892080271
102.98499999999994,-4.263054638721078
103.0,-4.263054385672046
103.015,-4.2630541329498435
103.03000000000002,-4.263053880709541
103.04499999999999,-4.263053629161358
103.05999999999996,-4.263053378410304
103.07500000000003,-4.263053128505388
103.09,-4.263052879543229
103.10499999999996,-4.263052631697309
103.12,-4.26305238508906
103.13499999999998,-4.263052139978947
103.14999999999998,-4.26305189668935
103.16500000000005,-4.263051655354749
103.17999999999996,-4.263051415969607
103.19500000000004,-4.2630511785285075
103.21000000000004,-4.263050943042708
103.22500000000002,-4.263050709479458
103.23999999999997,-4.263050477763126
103.25500000000001,-4.263050247819419
103.26999999999997,-4.263050019570882
103.28499999999998,-4.263049792865131
103.3,-4.2630495675089835
103.31499999999996,-4.263049343336521
103.32999999999997,-4.263049120196364
103.34500000000006,-4.263048897899795
103.36000000000006,-4.263048676351752
103.37500000000004,-4.263048455504056
103.38999999999996,-4.263048235298703
103.40500000000003,-4.26304801573921
103.42000000000003,-4.263047796770438
103.43500000000006,-4.2630475783108475
103.44999999999996,-4.263047360366128
103.46500000000006,-4.263047142989134
103.48000000000005,-4.263046926199095
103.495,-4.263046709996646
103.51000000000002,-4.2630464943707365
103.52499999999995,-4.263046279156314
103.53999999999996,-4.2630460641879475
103.55499999999998,-4.263045849503786
103.56999999999996,-4.263045635164128
103.58500000000002,-4.263045421188367
103.60000000000002,-4.263045207624638
103.61500000000002,-4.263044994508554
103.63000000000005,-4.26304478185067
103.64499999999997,-4.2630445697437676
103.66000000000004,-4.26304435826242
103.67499999999997,-4.263044147422961
103.68999999999997,-4.263043937189024
103.70500000000004,-4.263043727541445
103.71999999999994,-4.26304351855469
103.73500000000001,-4.2630433101475
103.75,-4.263043102201699
